Profile,Run Type,Average FPS,1% Low FPS,p95 Frame Time,Stable Scene Time,Asset Payload,Draw Calls,Triangles,Textures,Console Errors,Verdict
mobile-mid-cold-01,cold-local-context,19.7240772534902,6.666666666666667,100,10892,1489413,28,24356,0,0,FAIL
mobile-mid-warm-02,warm-local-context,18.263141185752396,10,99.89999999999964,9521,1489413,28,24356,0,0,FAIL
mobile-mid-warm-03,warm-local-context,20.73369465559831,8.568980291345277,116.60000000000036,9020,1489413,28,24356,0,0,FAIL
mobile-low-cold-01,cold-local-context,16.217147120738474,8.568980291345344,100,7198,1489413,28,24356,0,0,FAIL
mobile-low-warm-02,warm-local-context,13.943827754712206,8.568980291345344,116.60000000000036,7265,1489413,28,24356,0,0,FAIL
mobile-low-warm-03,warm-local-context,30.173204693266953,14.992503748125774,50.100000000000364,6356,1489413,28,24356,0,0,PASS HARD FLOOR
mobile-reduced-cold-01,cold-local-context,13.579621217825935,10,100,6583,1489413,28,24356,0,0,FAIL
mobile-reduced-warm-02,warm-local-context,12.149468094069917,8.56898029134531,116.69999999999982,8033,1489413,28,24356,0,0,FAIL
mobile-reduced-warm-03,warm-local-context,14.656227589313238,9.990009990010044,100,9593,1489413,28,24356,0,0,FAIL
mobile-webgl-fallback-01,cold-local-context,60.00308439835568,59.52380952380888,16.799999999999955,5536,1075741,,,,0,PASS HARD FLOOR
